instance_id,n,density,threshold,analytic_oracle_logical_depth_model,compiler_basis_depth,compiler_to_analytic_depth_ratio,analytic_total_logical_qubits_model,compiler_qubits,compiler_to_analytic_qubit_ratio,compiler_cx,analytic_oracle_cnot_model,analytic_oracle_toffoli_model,evidence_label
n8_d25_s17,8,0.25,28,249,26935,108.1726907630522,17,27,1.588235294117647,13176,440,192,matched abstraction-gap audit; depth/qubit ratios compare distinct executable vs analytical constructions; gate alphabets are not equated
n8_d50_s17,8,0.5,54,533,73580,138.0487804878049,18,30,1.6666666666666667,35900,952,420,matched abstraction-gap audit; depth/qubit ratios compare distinct executable vs analytical constructions; gate alphabets are not equated
n8_d75_s17,8,0.75,77,785,110317,140.5312101910828,18,30,1.6666666666666667,53794,1400,616,matched abstraction-gap audit; depth/qubit ratios compare distinct executable vs analytical constructions; gate alphabets are not equated
n10_d25_s17,10,0.25,42,377,42276,112.13793103448276,19,29,1.5263157894736843,20652,664,288,matched abstraction-gap audit; depth/qubit ratios compare distinct executable vs analytical constructions; gate alphabets are not equated
n10_d50_s17,10,0.5,63,821,115572,140.76979293544457,20,32,1.6,56358,1464,644,matched abstraction-gap audit; depth/qubit ratios compare distinct executable vs analytical constructions; gate alphabets are not equated
n10_d75_s17,10,0.75,113,1393,234179,168.11127063890882,21,35,1.6666666666666667,114106,2512,1120,matched abstraction-gap audit; depth/qubit ratios compare distinct executable vs analytical constructions; gate alphabets are not equated
n12_d25_s17,12,0.25,61,605,84084,138.98181818181817,22,34,1.5454545454545454,41022,1080,476,matched abstraction-gap audit; depth/qubit ratios compare distinct executable vs analytical constructions; gate alphabets are not equated
n12_d50_s17,12,0.5,112,1353,227299,167.99630450849963,23,37,1.608695652173913,110756,2440,1088,matched abstraction-gap audit; depth/qubit ratios compare distinct executable vs analytical constructions; gate alphabets are not equated
n12_d75_s17,12,0.75,150,2033,344336,169.37333989178555,23,37,1.608695652173913,167748,3664,1632,matched abstraction-gap audit; depth/qubit ratios compare distinct executable vs analytical constructions; gate alphabets are not equated
