metric,p,comparison,five_start_value,twenty_start_value,twenty_start_ci_lo,twenty_start_ci_hi,five_start_p_holm,twenty_start_p_holm
aggregate,1,,0.6733171051022586,0.6605866105180624,nan,nan,nan,nan
aggregate,2,,0.689377433030123,0.6914892014906536,nan,nan,nan,nan
aggregate,3,,0.7157508034931195,0.7070602411225738,nan,nan,nan,nan
inference,,p2-p1,0.023445268605977676,0.012616068632522903,0.004632056700057063,0.030451597145558063,0.0080108642578125,0.00032806396484375
inference,,p3-p1,0.03787458194227333,0.033355779339544755,0.021704482249283785,0.06526229721768628,0.0002288818359375,2.288818359375e-05
inference,,p3-p2,0.030669117038160276,0.01686142693535847,0.006173809981204315,0.033738691250830066,0.0080108642578125,0.0001068115234375
