optimizer,p,instances,runs,objective_eval_budget_per_run,median_instance_approx_ratio,q1_instance_approx_ratio,q3_instance_approx_ratio,median_instance_p_opt,median_objective_evaluations_used,budget_exhausted_fraction,optimizer_success_fraction,evidence_label
L-BFGS-B,1,18,90,128,0.6550724637681669,0.5834373809336045,0.7085424190266322,0.004407213168058201,39.0,0.0,1.0,paired ideal-statevector optimizer comparison under equal objective-evaluation cap
L-BFGS-B,2,18,90,128,0.6984641317500078,0.6529749081622874,0.7264534917797323,0.005428830139165192,115.0,0.37777777777777777,0.6222222222222222,paired ideal-statevector optimizer comparison under equal objective-evaluation cap
L-BFGS-B,3,18,90,128,0.6972427974747268,0.6316761079001529,0.717525796189054,0.00787022154058007,128.0,0.7444444444444445,0.25555555555555554,paired ideal-statevector optimizer comparison under equal objective-evaluation cap
COBYLA,1,18,90,128,0.6906233637718154,0.6373629922853402,0.7145483579573244,0.009187831752449898,125.0,0.4888888888888889,0.5111111111111111,paired ideal-statevector optimizer comparison under equal objective-evaluation cap
COBYLA,2,18,90,128,0.7001538537881176,0.651801933485235,0.7262748302855734,0.005033786829968221,128.0,0.9888888888888889,0.011111111111111112,paired ideal-statevector optimizer comparison under equal objective-evaluation cap
COBYLA,3,18,90,128,0.7220355671000311,0.6620300831797539,0.7396640713182284,0.016078035455132107,128.0,0.9888888888888889,0.011111111111111112,paired ideal-statevector optimizer comparison under equal objective-evaluation cap
