instance_id,n,target_ratio,threshold,method,configuration,p_target,expected_independent_repetitions,resource_metric_scope
n8_d25_s17,8,0.9,36,uniform,uniform sample,0.03125,32.0,none/common probability metric only
n8_d25_s17,8,0.9,36,hillclimb,256 starts,1.0,1.0,none/common probability metric only
n8_d25_s17,8,0.9,36,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d25_s17,8,0.9,36,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d25_s17,8,0.9,36,amplitude_amplification,k=3; eps=0; oracle_cost=1,0.8969365358352662,1.114906083147518,within-AA normalized_resource_per_hit=7.80434258203
n8_d25_s17,8,0.9,36,qaoa,p=1; median over 5 L-BFGS-B starts,0.03125,32.0,none/common probability metric only
n8_d25_s17,8,0.9,36,qaoa,p=2; median over 5 L-BFGS-B starts,0.16449101271036404,6.0793594952254395,none/common probability metric only
n8_d25_s17,8,0.9,36,qaoa,p=3; median over 5 L-BFGS-B starts,0.33313081951978124,3.001823732314927,none/common probability metric only
n8_d25_s17,8,0.95,38,uniform,uniform sample,0.0234375,42.666666666666664,none/common probability metric only
n8_d25_s17,8,0.95,38,hillclimb,256 starts,1.0,1.0,none/common probability metric only
n8_d25_s17,8,0.95,38,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d25_s17,8,0.95,38,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d25_s17,8,0.95,38,amplitude_amplification,k=3; eps=0; oracle_cost=1,0.774417118715064,1.2912937689952282,within-AA normalized_resource_per_hit=9.03905638297
n8_d25_s17,8,0.95,38,qaoa,p=1; median over 5 L-BFGS-B starts,0.0234375,42.666666666666664,none/common probability metric only
n8_d25_s17,8,0.95,38,qaoa,p=2; median over 5 L-BFGS-B starts,0.13988744606501477,7.14860431103471,none/common probability metric only
n8_d25_s17,8,0.95,38,qaoa,p=3; median over 5 L-BFGS-B starts,0.2567092412640432,3.8954577368386625,none/common probability metric only
n8_d25_s17,8,1.0,40,uniform,uniform sample,0.0078125,128.0,none/common probability metric only
n8_d25_s17,8,1.0,40,hillclimb,256 starts,0.578125,1.7297297297297298,none/common probability metric only
n8_d25_s17,8,1.0,40,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d25_s17,8,1.0,40,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d25_s17,8,1.0,40,amplitude_amplification,k=6; eps=0; oracle_cost=1,0.8335479177263119,1.199691078021913,within-AA normalized_resource_per_hit=15.5959840143
n8_d25_s17,8,1.0,40,qaoa,p=1; median over 5 L-BFGS-B starts,0.0078125,128.0,none/common probability metric only
n8_d25_s17,8,1.0,40,qaoa,p=2; median over 5 L-BFGS-B starts,0.01732419351637639,57.7227447300626,none/common probability metric only
n8_d25_s17,8,1.0,40,qaoa,p=3; median over 5 L-BFGS-B starts,0.08315384538547037,12.025902053769986,none/common probability metric only
n8_d25_s42,8,0.9,28,uniform,uniform sample,0.15625,6.4,none/common probability metric only
n8_d25_s42,8,0.9,28,hillclimb,256 starts,1.0,1.0,none/common probability metric only
n8_d25_s42,8,0.9,28,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d25_s42,8,0.9,28,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d25_s42,8,0.9,28,amplitude_amplification,k=1; eps=0; oracle_cost=1,0.88134765625,1.1346260387811635,within-AA normalized_resource_per_hit=3.40387811634
n8_d25_s42,8,0.9,28,qaoa,p=1; median over 5 L-BFGS-B starts,0.15625,6.4,none/common probability metric only
n8_d25_s42,8,0.9,28,qaoa,p=2; median over 5 L-BFGS-B starts,0.5409544942346871,1.8485843276239815,none/common probability metric only
n8_d25_s42,8,0.9,28,qaoa,p=3; median over 5 L-BFGS-B starts,0.5306240941135496,1.884573299805733,none/common probability metric only
n8_d25_s42,8,0.95,30,uniform,uniform sample,0.0625,16.0,none/common probability metric only
n8_d25_s42,8,0.95,30,hillclimb,256 starts,1.0,1.0,none/common probability metric only
n8_d25_s42,8,0.95,30,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
