instance_id,n,target_ratio,threshold,method,configuration,p_target,expected_independent_repetitions,resource_metric_scope
n8_d25_s42,8,0.95,30,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d25_s42,8,0.95,30,amplitude_amplification,k=2; eps=0; oracle_cost=1,0.908447265625,1.1007793603869926,within-AA normalized_resource_per_hit=5.50389680193
n8_d25_s42,8,0.95,30,qaoa,p=1; median over 5 L-BFGS-B starts,0.0625,16.0,none/common probability metric only
n8_d25_s42,8,0.95,30,qaoa,p=2; median over 5 L-BFGS-B starts,0.08440340466255625,11.847863294116955,none/common probability metric only
n8_d25_s42,8,0.95,30,qaoa,p=3; median over 5 L-BFGS-B starts,0.442476362018004,2.260007733383305,none/common probability metric only
n8_d25_s42,8,1.0,31,uniform,uniform sample,0.03125,32.0,none/common probability metric only
n8_d25_s42,8,1.0,31,hillclimb,256 starts,1.0,1.0,none/common probability metric only
n8_d25_s42,8,1.0,31,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d25_s42,8,1.0,31,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d25_s42,8,1.0,31,amplitude_amplification,k=3; eps=0; oracle_cost=1,0.8969365358352662,1.114906083147518,within-AA normalized_resource_per_hit=7.80434258203
n8_d25_s42,8,1.0,31,qaoa,p=1; median over 5 L-BFGS-B starts,0.03125,32.0,none/common probability metric only
n8_d25_s42,8,1.0,31,qaoa,p=2; median over 5 L-BFGS-B starts,0.03125,32.0,none/common probability metric only
n8_d25_s42,8,1.0,31,qaoa,p=3; median over 5 L-BFGS-B starts,0.22867203708511566,4.373075137419548,none/common probability metric only
n8_d50_s17,8,0.9,52,uniform,uniform sample,0.1171875,8.533333333333333,none/common probability metric only
n8_d50_s17,8,0.9,52,hillclimb,256 starts,1.0,1.0,none/common probability metric only
n8_d50_s17,8,0.9,52,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d50_s17,8,0.9,52,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d50_s17,8,0.9,52,amplitude_amplification,k=1; eps=0; oracle_cost=1,0.7508468627929688,1.3318294975359448,within-AA normalized_resource_per_hit=3.99548849261
n8_d50_s17,8,0.9,52,qaoa,p=1; median over 5 L-BFGS-B starts,0.1908798427196277,5.238897862404684,none/common probability metric only
n8_d50_s17,8,0.9,52,qaoa,p=2; median over 5 L-BFGS-B starts,0.27548139834215546,3.630009162208377,none/common probability metric only
n8_d50_s17,8,0.9,52,qaoa,p=3; median over 5 L-BFGS-B starts,0.1171875,8.533333333333333,none/common probability metric only
n8_d50_s17,8,0.95,55,uniform,uniform sample,0.03125,32.0,none/common probability metric only
n8_d50_s17,8,0.95,55,hillclimb,256 starts,0.6171875,1.620253164556962,none/common probability metric only
n8_d50_s17,8,0.95,55,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d50_s17,8,0.95,55,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d50_s17,8,0.95,55,amplitude_amplification,k=3; eps=0; oracle_cost=1,0.8969365358352662,1.114906083147518,within-AA normalized_resource_per_hit=7.80434258203
n8_d50_s17,8,0.95,55,qaoa,p=1; median over 5 L-BFGS-B starts,0.06520126134161217,15.337126604969358,none/common probability metric only
n8_d50_s17,8,0.95,55,qaoa,p=2; median over 5 L-BFGS-B starts,0.06194602911552641,16.143084783288487,none/common probability metric only
n8_d50_s17,8,0.95,55,qaoa,p=3; median over 5 L-BFGS-B starts,0.03125,32.0,none/common probability metric only
n8_d50_s17,8,1.0,57,uniform,uniform sample,0.015625,64.0,none/common probability metric only
n8_d50_s17,8,1.0,57,hillclimb,256 starts,0.484375,2.064516129032258,none/common probability metric only
n8_d50_s17,8,1.0,57,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d50_s17,8,1.0,57,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d50_s17,8,1.0,57,amplitude_amplification,k=4; eps=0; oracle_cost=1,0.8163770193968958,1.2249242399531983,within-AA normalized_resource_per_hit=11.0243181596
n8_d50_s17,8,1.0,57,qaoa,p=1; median over 5 L-BFGS-B starts,0.0182173706562904,54.892663648730405,none/common probability metric only
n8_d50_s17,8,1.0,57,qaoa,p=2; median over 5 L-BFGS-B starts,0.03646329931248719,27.42483589951886,none/common probability metric only
n8_d50_s17,8,1.0,57,qaoa,p=3; median over 5 L-BFGS-B starts,0.015625,64.0,none/common probability metric only
n8_d50_s42,8,0.9,54,uniform,uniform sample,0.046875,21.333333333333332,none/common probability metric only
n8_d50_s42,8,0.9,54,hillclimb,256 starts,0.8828125,1.1327433628318584,none/common probability metric only
n8_d50_s42,8,0.9,54,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d50_s42,8,0.9,54,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d50_s42,8,0.9,54,amplitude_amplification,k=2; eps=0; oracle_cost=1,0.7870681285858153,1.2705380432527174,within-AA normalized_resource_per_hit=6.35269021626
n8_d50_s42,8,0.9,54,qaoa,p=1; median over 5 L-BFGS-B starts,0.046875,21.333333333333332,none/common probability metric only
n8_d50_s42,8,0.9,54,qaoa,p=2; median over 5 L-BFGS-B starts,0.1426922487996092,7.00808914578364,none/common probability metric only
n8_d50_s42,8,0.9,54,qaoa,p=3; median over 5 L-BFGS-B starts,0.046875,21.333333333333332,none/common probability metric only
n8_d50_s42,8,0.95,57,uniform,uniform sample,0.015625,64.0,none/common probability metric only
n8_d50_s42,8,0.95,57,hillclimb,256 starts,0.41796875,2.392523364485981,none/common probability metric only
n8_d50_s42,8,0.95,57,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d50_s42,8,0.95,57,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d50_s42,8,0.95,57,amplitude_amplification,k=4; eps=0; oracle_cost=1,0.8163770193968958,1.2249242399531983,within-AA normalized_resource_per_hit=11.0243181596
n8_d50_s42,8,0.95,57,qaoa,p=1; median over 5 L-BFGS-B starts,0.015625,64.0,none/common probability metric only
n8_d50_s42,8,0.95,57,qaoa,p=2; median over 5 L-BFGS-B starts,0.032162261428711314,31.09234101017841,none/common probability metric only
n8_d50_s42,8,0.95,57,qaoa,p=3; median over 5 L-BFGS-B starts,0.015625,64.0,none/common probability metric only
n8_d50_s42,8,1.0,60,uniform,uniform sample,0.015625,64.0,none/common probability metric only
n8_d50_s42,8,1.0,60,hillclimb,256 starts,0.41796875,2.392523364485981,none/common probability metric only
n8_d50_s42,8,1.0,60,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d50_s42,8,1.0,60,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d50_s42,8,1.0,60,amplitude_amplification,k=4; eps=0; oracle_cost=1,0.8163770193968958,1.2249242399531983,within-AA normalized_resource_per_hit=11.0243181596
n8_d50_s42,8,1.0,60,qaoa,p=1; median over 5 L-BFGS-B starts,0.015625,64.0,none/common probability metric only
n8_d50_s42,8,1.0,60,qaoa,p=2; median over 5 L-BFGS-B starts,0.032162261428711314,31.09234101017841,none/common probability metric only
n8_d50_s42,8,1.0,60,qaoa,p=3; median over 5 L-BFGS-B starts,0.015625,64.0,none/common probability metric only
n8_d75_s17,8,0.9,81,uniform,uniform sample,0.0234375,42.666666666666664,none/common probability metric only
n8_d75_s17,8,0.9,81,hillclimb,256 starts,0.6484375,1.5421686746987953,none/common probability metric only
n8_d75_s17,8,0.9,81,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d75_s17,8,0.9,81,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d75_s17,8,0.9,81,amplitude_amplification,k=3; eps=0; oracle_cost=1,0.774417118715064,1.2912937689952282,within-AA normalized_resource_per_hit=9.03905638297
n8_d75_s17,8,0.9,81,qaoa,p=1; median over 5 L-BFGS-B starts,0.029862044286370185,33.48732559667477,none/common probability metric only
n8_d75_s17,8,0.9,81,qaoa,p=2; median over 5 L-BFGS-B starts,0.0234375,42.666666666666664,none/common probability metric only
n8_d75_s17,8,0.9,81,qaoa,p=3; median over 5 L-BFGS-B starts,0.0234375,42.666666666666664,none/common probability metric only
n8_d75_s17,8,0.95,86,uniform,uniform sample,0.015625,64.0,none/common probability metric only
n8_d75_s17,8,0.95,86,hillclimb,256 starts,0.6484375,1.5421686746987953,none/common probability metric only
n8_d75_s17,8,0.95,86,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d75_s17,8,0.95,86,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d75_s17,8,0.95,86,amplitude_amplification,k=4; eps=0; oracle_cost=1,0.8163770193968958,1.2249242399531983,within-AA normalized_resource_per_hit=11.0243181596
n8_d75_s17,8,0.95,86,qaoa,p=1; median over 5 L-BFGS-B starts,0.02575991445031634,38.820004698723665,none/common probability metric only
n8_d75_s17,8,0.95,86,qaoa,p=2; median over 5 L-BFGS-B starts,0.015624999999999998,64.00000000000001,none/common probability metric only
n8_d75_s17,8,0.95,86,qaoa,p=3; median over 5 L-BFGS-B starts,0.01991176622227585,50.221561906510935,none/common probability metric only
n8_d75_s17,8,1.0,90,uniform,uniform sample,0.0078125,128.0,none/common probability metric only
n8_d75_s17,8,1.0,90,hillclimb,256 starts,0.6484375,1.5421686746987953,none/common probability metric only
n8_d75_s17,8,1.0,90,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d75_s17,8,1.0,90,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d75_s17,8,1.0,90,amplitude_amplification,k=6; eps=0; oracle_cost=1,0.8335479177263119,1.199691078021913,within-AA normalized_resource_per_hit=15.5959840143
n8_d75_s17,8,1.0,90,qaoa,p=1; median over 5 L-BFGS-B starts,0.011942299138252994,83.73596980139682,none/common probability metric only
n8_d75_s17,8,1.0,90,qaoa,p=2; median over 5 L-BFGS-B starts,0.007812499999999998,128.00000000000003,none/common probability metric only
n8_d75_s17,8,1.0,90,qaoa,p=3; median over 5 L-BFGS-B starts,0.0078125,128.0,none/common probability metric only
n8_d75_s42,8,0.9,83,uniform,uniform sample,0.0546875,18.285714285714285,none/common probability metric only
n8_d75_s42,8,0.9,83,hillclimb,256 starts,0.96875,1.032258064516129,none/common probability metric only
n8_d75_s42,8,0.9,83,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d75_s42,8,0.9,83,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d75_s42,8,0.9,83,amplitude_amplification,k=2; eps=0; oracle_cost=1,0.8550346419215202,1.1695432570459356,within-AA normalized_resource_per_hit=5.84771628523
n8_d75_s42,8,0.9,83,qaoa,p=1; median over 5 L-BFGS-B starts,0.0546875,18.285714285714285,none/common probability metric only
n8_d75_s42,8,0.9,83,qaoa,p=2; median over 5 L-BFGS-B starts,0.07156492419383123,13.973325777465131,none/common probability metric only
n8_d75_s42,8,0.9,83,qaoa,p=3; median over 5 L-BFGS-B starts,0.09265017628382,10.793287612714833,none/common probability metric only
n8_d75_s42,8,0.95,88,uniform,uniform sample,0.0390625,25.6,none/common probability metric only
n8_d75_s42,8,0.95,88,hillclimb,256 starts,0.96875,1.032258064516129,none/common probability metric only
n8_d75_s42,8,0.95,88,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d75_s42,8,0.95,88,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d75_s42,8,0.95,88,amplitude_amplification,k=2; eps=0; oracle_cost=1,0.7032984867691994,1.4218713943119414,within-AA normalized_resource_per_hit=7.10935697156
n8_d75_s42,8,0.95,88,qaoa,p=1; median over 5 L-BFGS-B starts,0.0390625,25.6,none/common probability metric only
n8_d75_s42,8,0.95,88,qaoa,p=2; median over 5 L-BFGS-B starts,0.06164188861692359,16.22273461175966,none/common probability metric only
n8_d75_s42,8,0.95,88,qaoa,p=3; median over 5 L-BFGS-B starts,0.07205962108813867,13.877397423126395,none/common probability metric only
n8_d75_s42,8,1.0,92,uniform,uniform sample,0.0078125,128.0,none/common probability metric only
n8_d75_s42,8,1.0,92,hillclimb,256 starts,0.96875,1.032258064516129,none/common probability metric only
n8_d75_s42,8,1.0,92,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d75_s42,8,1.0,92,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n8_d75_s42,8,1.0,92,amplitude_amplification,k=6; eps=0; oracle_cost=1,0.8335479177263119,1.199691078021913,within-AA normalized_resource_per_hit=15.5959840143
n8_d75_s42,8,1.0,92,qaoa,p=1; median over 5 L-BFGS-B starts,0.0078125,128.0,none/common probability metric only
n8_d75_s42,8,1.0,92,qaoa,p=2; median over 5 L-BFGS-B starts,0.014971103862677766,66.79534182465673,none/common probability metric only
n8_d75_s42,8,1.0,92,qaoa,p=3; median over 5 L-BFGS-B starts,0.007812499999999993,128.0000000000001,none/common probability metric only
n10_d25_s17,10,0.9,54,uniform,uniform sample,0.0078125,128.0,none/common probability metric only
n10_d25_s17,10,0.9,54,hillclimb,256 starts,0.69140625,1.4463276836158192,none/common probability metric only
n10_d25_s17,10,0.9,54,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n10_d25_s17,10,0.9,54,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n10_d25_s17,10,0.9,54,amplitude_amplification,k=6; eps=0; oracle_cost=1,0.8335479177263119,1.199691078021913,within-AA normalized_resource_per_hit=15.5959840143
n10_d25_s17,10,0.9,54,qaoa,p=1; median over 5 L-BFGS-B starts,0.01944741966998649,51.420703464496924,none/common probability metric only
n10_d25_s17,10,0.9,54,qaoa,p=2; median over 5 L-BFGS-B starts,0.011982669345795031,83.45385916460432,none/common probability metric only
n10_d25_s17,10,0.9,54,qaoa,p=3; median over 5 L-BFGS-B starts,0.0078125,128.0,none/common probability metric only
n10_d25_s17,10,0.95,57,uniform,uniform sample,0.0078125,128.0,none/common probability metric only
n10_d25_s17,10,0.95,57,hillclimb,256 starts,0.69140625,1.4463276836158192,none/common probability metric only
n10_d25_s17,10,0.95,57,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n10_d25_s17,10,0.95,57,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n10_d25_s17,10,0.95,57,amplitude_amplification,k=6; eps=0; oracle_cost=1,0.8335479177263119,1.199691078021913,within-AA normalized_resource_per_hit=15.5959840143
n10_d25_s17,10,0.95,57,qaoa,p=1; median over 5 L-BFGS-B starts,0.01944741966998649,51.420703464496924,none/common probability metric only
n10_d25_s17,10,0.95,57,qaoa,p=2; median over 5 L-BFGS-B starts,0.011982669345795031,83.45385916460432,none/common probability metric only
n10_d25_s17,10,0.95,57,qaoa,p=3; median over 5 L-BFGS-B starts,0.0078125,128.0,none/common probability metric only
n10_d25_s17,10,1.0,59,uniform,uniform sample,0.00390625,256.0,none/common probability metric only
n10_d25_s17,10,1.0,59,hillclimb,256 starts,0.69140625,1.4463276836158192,none/common probability metric only
n10_d25_s17,10,1.0,59,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n10_d25_s17,10,1.0,59,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n10_d25_s17,10,1.0,59,amplitude_amplification,k=9; eps=0; oracle_cost=1,0.8606760445971724,1.161877347786572,within-AA normalized_resource_per_hit=22.0756696079
n10_d25_s17,10,1.0,59,qaoa,p=1; median over 5 L-BFGS-B starts,0.006768022626411834,147.75364315384456,none/common probability metric only
n10_d25_s17,10,1.0,59,qaoa,p=2; median over 5 L-BFGS-B starts,0.007161486476586435,139.63581489253275,none/common probability metric only
n10_d25_s17,10,1.0,59,qaoa,p=3; median over 5 L-BFGS-B starts,0.004407787201637633,226.8712064022665,none/common probability metric only
n10_d25_s42,10,0.9,45,uniform,uniform sample,0.03125,32.0,none/common probability metric only
n10_d25_s42,10,0.9,45,hillclimb,256 starts,0.91015625,1.0987124463519313,none/common probability metric only
n10_d25_s42,10,0.9,45,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n10_d25_s42,10,0.9,45,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n10_d25_s42,10,0.9,45,amplitude_amplification,k=3; eps=0; oracle_cost=1,0.8969365358352662,1.114906083147518,within-AA normalized_resource_per_hit=7.80434258203
n10_d25_s42,10,0.9,45,qaoa,p=1; median over 5 L-BFGS-B starts,0.03125,32.0,none/common probability metric only
n10_d25_s42,10,0.9,45,qaoa,p=2; median over 5 L-BFGS-B starts,0.18376101731113437,5.441850587422757,none/common probability metric only
n10_d25_s42,10,0.9,45,qaoa,p=3; median over 5 L-BFGS-B starts,0.03125,32.0,none/common probability metric only
n10_d25_s42,10,0.95,48,uniform,uniform sample,0.01171875,85.33333333333333,none/common probability metric only
n10_d25_s42,10,0.95,48,hillclimb,256 starts,0.68359375,1.4628571428571429,none/common probability metric only
n10_d25_s42,10,0.95,48,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n10_d25_s42,10,0.95,48,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n10_d25_s42,10,0.95,48,amplitude_amplification,k=5; eps=0; oracle_cost=1,0.8640169934267792,1.1573846435981523,within-AA normalized_resource_per_hit=12.7312310796
n10_d25_s42,10,0.95,48,qaoa,p=1; median over 5 L-BFGS-B starts,0.01171875,85.33333333333333,none/common probability metric only
n10_d25_s42,10,0.95,48,qaoa,p=2; median over 5 L-BFGS-B starts,0.06038425539817158,16.56060828118251,none/common probability metric only
n10_d25_s42,10,0.95,48,qaoa,p=3; median over 5 L-BFGS-B starts,0.01171875,85.33333333333333,none/common probability metric only
n10_d25_s42,10,1.0,50,uniform,uniform sample,0.0078125,128.0,none/common probability metric only
n10_d25_s42,10,1.0,50,hillclimb,256 starts,0.68359375,1.4628571428571429,none/common probability metric only
n10_d25_s42,10,1.0,50,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n10_d25_s42,10,1.0,50,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n10_d25_s42,10,1.0,50,amplitude_amplification,k=6; eps=0; oracle_cost=1,0.8335479177263119,1.199691078021913,within-AA normalized_resource_per_hit=15.5959840143
n10_d25_s42,10,1.0,50,qaoa,p=1; median over 5 L-BFGS-B starts,0.0078125,128.0,none/common probability metric only
n10_d25_s42,10,1.0,50,qaoa,p=2; median over 5 L-BFGS-B starts,0.040825400253007085,24.494554708654515,none/common probability metric only
n10_d25_s42,10,1.0,50,qaoa,p=3; median over 5 L-BFGS-B starts,0.0078125,128.0,none/common probability metric only
n10_d50_s17,10,0.9,63,uniform,uniform sample,0.02734375,36.57142857142857,none/common probability metric only
n10_d50_s17,10,0.9,63,hillclimb,256 starts,0.75390625,1.3264248704663213,none/common probability metric only
n10_d50_s17,10,0.9,63,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n10_d50_s17,10,0.9,63,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n10_d50_s17,10,0.9,63,amplitude_amplification,k=3; eps=0; oracle_cost=1,0.842614590269875,1.1867822033317952,within-AA normalized_resource_per_hit=8.30747542332
n10_d50_s17,10,0.9,63,qaoa,p=1; median over 5 L-BFGS-B starts,0.04776432571314929,20.936127226113122,none/common probability metric only
n10_d50_s17,10,0.9,63,qaoa,p=2; median over 5 L-BFGS-B starts,0.0524460172907511,19.067224770494647,none/common probability metric only
n10_d50_s17,10,0.9,63,qaoa,p=3; median over 5 L-BFGS-B starts,0.04840771620383581,20.65786363044246,none/common probability metric only
n10_d50_s17,10,0.95,67,uniform,uniform sample,0.01171875,85.33333333333333,none/common probability metric only
n10_d50_s17,10,0.95,67,hillclimb,256 starts,0.75390625,1.3264248704663213,none/common probability metric only
n10_d50_s17,10,0.95,67,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n10_d50_s17,10,0.95,67,tabu_search,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
n10_d50_s17,10,0.95,67,amplitude_amplification,k=5; eps=0; oracle_cost=1,0.8640169934267792,1.1573846435981523,within-AA normalized_resource_per_hit=12.7312310796
n10_d50_s17,10,0.95,67,qaoa,p=1; median over 5 L-BFGS-B starts,0.018958702932539796,52.74622444152804,none/common probability metric only
n10_d50_s17,10,0.95,67,qaoa,p=2; median over 5 L-BFGS-B starts,0.03854957884245041,25.94062062485648,none/common probability metric only
n10_d50_s17,10,0.95,67,qaoa,p=3; median over 5 L-BFGS-B starts,0.015922372212495928,62.80471192698264,none/common probability metric only
n10_d50_s17,10,1.0,70,uniform,uniform sample,0.00390625,256.0,none/common probability metric only
n10_d50_s17,10,1.0,70,hillclimb,256 starts,0.640625,1.5609756097560976,none/common probability metric only
n10_d50_s17,10,1.0,70,simulated_annealing,64 runs; <= 4096 objective evaluations/run,1.0,1.0,classical objective-evaluation budget only; not matched to quantum resources
