scope,eps_per_logical_depth_model,toffoli_weight_alpha,fixed_overhead_ratio_to_canonical_alpha6_oracle,feasible_threshold_conditions,nonzero_k_fraction,median_k_star,median_break_even_ratio_to_canonical_alpha6_oracle,evidence_label
primary,0.0,6.0,0.0,51,0.0,0.0,0.16345299186984058,descriptive scalarization robustness summary; alpha changes bookkeeping only
primary,0.0,6.0,0.1,51,0.2549019607843137,0.0,0.16345299186984058,descriptive scalarization robustness summary; alpha changes bookkeeping only
primary,0.0,6.0,0.25,51,0.7843137254901961,1.0,0.16345299186984058,descriptive scalarization robustness summary; alpha changes bookkeeping only
primary,0.0,6.0,0.5,51,1.0,2.0,0.16345299186984058,descriptive scalarization robustness summary; alpha changes bookkeeping only
primary,0.0,10.0,0.0,51,0.0,0.0,0.2426537230459777,descriptive scalarization robustness summary; alpha changes bookkeeping only
primary,0.0,10.0,0.1,51,0.1568627450980392,0.0,0.2426537230459777,descriptive scalarization robustness summary; alpha changes bookkeeping only
primary,0.0,10.0,0.25,51,0.5490196078431373,1.0,0.2426537230459777,descriptive scalarization robustness summary; alpha changes bookkeeping only
primary,0.0,10.0,0.5,51,0.9607843137254902,2.0,0.2426537230459777,descriptive scalarization robustness summary; alpha changes bookkeeping only
primary,0.0001,1.0,0.0,51,0.0,0.0,0.07054380011065248,descriptive scalarization robustness summary; alpha changes bookkeeping only
primary,0.0001,1.0,0.1,51,0.7450980392156863,1.0,0.07054380011065248,descriptive scalarization robustness summary; alpha changes bookkeeping only
primary,0.0001,1.0,0.25,51,1.0,2.0,0.07054380011065248,descriptive scalarization robustness summary; alpha changes bookkeeping only
primary,0.0001,1.0,0.5,51,1.0,2.0,0.07054380011065248,descriptive scalarization robustness summary; alpha changes bookkeeping only
primary,0.0001,4.0,0.0,51,0.0,0.0,0.13598733329010051,descriptive scalarization robustness summary; alpha changes bookkeeping only
primary,0.0001,4.0,0.1,51,0.2549019607843137,0.0,0.13598733329010051,descriptive scalarization robustness summary; alpha changes bookkeeping only
primary,0.0001,4.0,0.25,51,0.9607843137254902,1.0,0.13598733329010051,descriptive scalarization robustness summary; alpha changes bookkeeping only
primary,0.0001,4.0,0.5,51,1.0,2.0,0.13598733329010051,descriptive scalarization robustness summary; alpha changes bookkeeping only
primary,0.0001,6.0,0.0,51,0.0,0.0,0.17961635540973253,descriptive scalarization robustness summary; alpha changes bookkeeping only
primary,0.0001,6.0,0.1,51,0.0784313725490196,0.0,0.17961635540973253,descriptive scalarization robustness summary; alpha changes bookkeeping only
primary,0.0001,6.0,0.25,51,0.7254901960784313,1.0,0.17961635540973253,descriptive scalarization robustness summary; alpha changes bookkeeping only
primary,0.0001,6.0,0.5,51,1.0,2.0,0.17961635540973253,descriptive scalarization robustness summary; alpha changes bookkeeping only
primary,0.0001,10.0,0.0,51,0.0,0.0,0.2666465562569251,descriptive scalarization robustness summary; alpha changes bookkeeping only
primary,0.0001,10.0,0.1,51,0.0,0.0,0.2666465562569251,descriptive scalarization robustness summary; alpha changes bookkeeping only
primary,0.0001,10.0,0.25,51,0.45098039215686275,0.0,0.2666465562569251,descriptive scalarization robustness summary; alpha changes bookkeeping only
primary,0.0001,10.0,0.5,51,0.9607843137254902,1.0,0.2666465562569251,descriptive scalarization robustness summary; alpha changes bookkeeping only
