analysis,p,n_instances,median_instance_delta,bootstrap95_lo,bootstrap95_hi,wilcoxon_statistic,p_raw,p_holm,rank_biserial,evidence_label
optimizer_COBYLA_minus_LBFGSB_instance_clustered,1,18,0.01221509912951324,0.0026439403315242638,0.05888061028745284,6.0,0.0001068115234375,0.0003204345703125,0.9298245614035088,instance-clustered paired optimizer inference; five paired starts collapsed within instance; finite 128-evaluation cap
optimizer_COBYLA_minus_LBFGSB_instance_clustered,2,18,-7.471637754191685e-05,-0.001305448007119181,0.004398493832045158,78.0,0.7660293579101562,0.7660293579101562,0.08771929824561403,instance-clustered paired optimizer inference; five paired starts collapsed within instance; finite 128-evaluation cap
optimizer_COBYLA_minus_LBFGSB_instance_clustered,3,18,0.033532627657225145,0.01878118082787572,0.046212627756343716,13.0,0.00067138671875,0.0013427734375,0.847953216374269,instance-clustered paired optimizer inference; five paired starts collapsed within instance; finite 128-evaluation cap
