scope,instance_id,n,family,operational_level,threshold,rho_tau_exact_validation,eps_per_logical_depth_model,fixed_overhead_ratio_to_oracle,fixed_overhead_gate_equivalent_model,break_even_fixed_overhead_ratio_to_oracle,k_star,p_target_eff,gate_equivalent_cost_at_k,resource_per_target_hit_model,eta_arch_fixed,oracle_gate_equivalent_model,iteration_gate_equivalent_model,evidence_label
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,0.0,0.0,0.0,0.4266803913082466,0,0.28124999999999994,8.0,28.44444444444445,1.0,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,0.0,0.05,79.65,0.4266803913082466,0,0.28124999999999994,87.65,311.6444444444445,1.0,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,0.0,0.1,159.3,0.4266803913082466,0,0.28124999999999994,167.3,594.8444444444445,1.0,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,0.0,0.25,398.25,0.4266803913082466,0,0.28124999999999994,406.25,1444.4444444444448,1.0,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,0.0,0.5,796.5,0.4266803913082466,1,0.9887695312500001,2534.5,2563.2869135802466,0.896114909191354,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,0.0,1.0,1593.0,0.4266803913082466,1,0.9887695312500001,3331.0,3368.8335802469132,0.5918078978416266,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,0.0,2.0,3186.0,0.4266803913082466,1,0.9887695312500001,4924.0,4979.926913580246,0.43851109719613146,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,1e-05,0.0,0.0,0.42828903743568264,0,0.2812471875140624,8.0,28.44472889031112,1.0,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,1e-05,0.05,79.65,0.42828903743568264,0,0.2812471875140624,87.65,311.6475609044712,1.0,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,1e-05,0.1,159.3,0.42828903743568264,0,0.2812471875140624,167.3,594.8503929186313,1.0,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,1e-05,0.25,398.25,0.42828903743568264,0,0.2812471875140624,406.25,1444.4588889611116,1.0,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,1e-05,0.5,796.5,0.42828903743568264,1,0.9861330378864775,2534.5,2570.140034484646,0.8985017479379764,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,1e-05,1.0,1593.0,0.42828903743568264,1,0.9861330378864775,3331.0,3377.8403846393194,0.5933842024055136,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,1e-05,2.0,3186.0,0.42828903743568264,1,0.9861330378864775,4924.0,4993.241084948667,0.4396790894556914,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,5e-05,0.0,0.0,0.43480124289362804,0,0.2812359378515566,8.0,28.44586670222282,1.0,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,5e-05,0.05,79.65,0.43480124289362804,0,0.2812359378515566,87.65,311.6600270562288,1.0,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,5e-05,0.1,159.3,0.43480124289362804,0,0.2812359378515566,167.3,594.8741874102348,1.0,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,5e-05,0.25,398.25,0.43480124289362804,0,0.2812359378515566,406.25,1444.5166684722526,1.0,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,5e-05,0.5,796.5,0.43480124289362804,1,0.9756571777101484,2534.5,2597.7362314377992,0.9081128469103514,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,5e-05,1.0,1593.0,0.43480124289362804,1,0.9756571777101484,3331.0,3414.1090498793883,0.5997315181575994,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,5e-05,2.0,3186.0,0.43480124289362804,1,0.9756571777101484,4924.0,5046.8546867625655,0.4443822514189712,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,0.0001,0.0,0.0,0.4431199650226503,0,0.28122187640620305,8.0,28.447289031115858,1.0,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,0.0001,0.05,79.65,0.4431199650226503,0,0.28122187640620305,87.65,311.67561044716314,1.0,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,0.0001,0.1,159.3,0.4431199650226503,0,0.28122187640620305,167.3,594.9039318632105,1.0,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,0.0001,0.25,398.25,0.4431199650226503,0,0.28122187640620305,406.25,1444.5888961113521,1.0,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,0.0001,0.5,796.5,0.4431199650226503,1,0.9627187108141707,2534.5,2632.648531216948,0.9202714230787626,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,0.0001,1.0,1593.0,0.4431199650226503,1,0.9627187108141707,3331.0,3459.992999598995,0.6077612265456317,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,0.0001,2.0,3186.0,0.4431199650226503,1,0.9627187108141707,4924.0,5114.681936363089,0.45033201357700064,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,0.0005,0.0,0.0,0.5176450879806016,0,0.2811094101503913,8.0,28.45867022281489,1.0,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,0.0005,0.05,79.65,0.5176450879806016,0,0.2811094101503913,87.65,311.8003056287157,1.0,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,0.0005,0.1,159.3,0.5176450879806016,0,0.2811094101503913,167.3,595.1419410346165,1.0,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,0.0005,0.25,398.25,0.5176450879806016,0,0.2811094101503913,406.25,1445.1668472523188,1.0,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,0.0005,0.5,796.5,0.5176450879806016,0,0.2811094101503913,804.5,2861.875024281823,1.0,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,0.0005,1.0,1593.0,0.5176450879806016,1,0.865200500331872,3331.0,3849.974657576251,0.675992570321808,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.25,25,0.28125,0.0005,2.0,3186.0,0.5176450879806016,1,0.865200500331872,4924.0,5691.166380638085,0.5008893000403599,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.4,28,0.1875,0.0,0.0,0.0,0.26230141484378766,0,0.18749999999999997,8.0,42.66666666666667,1.0,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.4,28,0.1875,0.0,0.05,79.65,0.26230141484378766,0,0.18749999999999997,87.65,467.46666666666675,1.0,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.4,28,0.1875,0.0,0.1,159.3,0.26230141484378766,0,0.18749999999999997,167.3,892.2666666666669,1.0,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.4,28,0.1875,0.0,0.25,398.25,0.26230141484378766,0,0.18749999999999997,406.25,2166.666666666667,1.0,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.4,28,0.1875,0.0,0.5,796.5,0.26230141484378766,1,0.94921875,2534.5,2670.090534979424,0.6223020202717737,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.4,28,0.1875,0.0,1.0,1593.0,0.26230141484378766,1,0.94921875,3331.0,3509.201646090535,0.410977706834463,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.4,28,0.1875,0.0,2.0,3186.0,0.26230141484378766,1,0.94921875,4924.0,5187.423868312757,0.3045215952750914,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.4,28,0.1875,1e-05,0.0,0.0,0.2631892918857694,0,0.18749812500937493,8.0,42.66709333546668,1.0,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.4,28,0.1875,1e-05,0.05,79.65,0.2631892918857694,0,0.18749812500937493,87.65,467.4713413567069,1.0,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.4,28,0.1875,1e-05,0.1,159.3,0.2631892918857694,0,0.18749812500937493,167.3,892.2755893779471,1.0,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.4,28,0.1875,1e-05,0.25,398.25,0.2631892918857694,0,0.18749812500937493,406.25,2166.6883334416675,1.0,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.4,28,0.1875,1e-05,0.5,796.5,0.2631892918857694,1,0.9466877163710183,2534.5,2677.229202588173,0.6239595471791504,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
primary,n8_d25_s17,8,random_fixed_density,0.4,28,0.1875,1e-05,1.0,1593.0,0.2631892918857694,1,0.9466877163710183,3331.0,3518.583733999292,0.41207236278160675,1593.0,1730.0,synthetic fixed-overhead sensitivity on architecture-informed logical model; not measured backend cost
