instance_id,n,density_target,graph_seed,p,optimizer_seed,success,nit,nfev,optimizer,maxiter,T_opt_s,expected_cut,approx_ratio,p_opt_exact,final_shots,hits_opt,p_opt_sample,p_opt_ci_lo,p_opt_ci_hi,initial_params,final_params,message,threshold_q090,rho_uniform_q090,p_target_exact_q090,expected_repetitions_q090,threshold_q095,rho_uniform_q095,p_target_exact_q095,expected_repetitions_q095,threshold_q100,rho_uniform_q100,p_target_exact_q100,expected_repetitions_q100,oper_threshold_l025,oper_rho_uniform_l025,oper_feasible_l025,oper_p_target_exact_l025,oper_expected_repetitions_l025,oper_threshold_l040,oper_rho_uniform_l040,oper_feasible_l040,oper_p_target_exact_l040,oper_expected_repetitions_l040,oper_threshold_l055,oper_rho_uniform_l055,oper_feasible_l055,oper_p_target_exact_l055,oper_expected_repetitions_l055
n8_d25_s17,8,0.25,17,1,0,True,8,54,L-BFGS-B,60,0.009510959999715851,24.03386120269071,0.6008465300672677,0.03130934378217429,4096,128,0.03125,0.02634519929104107,0.03703321702836379,"[2.657024240036159, 2.3732357557580244]","[2.4323142721562614, 2.7488936199327196]",CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,36,0.03125,0.06784032181773605,14.740496112130202,38,0.0234375,0.06527107225298567,15.320722725744057,40,0.0078125,0.03130934378217429,31.939347146884042,25,0.28125,True,0.43163566201012893,2.3167687195793696,28,0.1875,True,0.3583752634396904,2.790371161229118,31,0.1328125,True,0.2850817715324897,3.507765489965863
n8_d25_s17,8,0.25,17,1,1,True,10,39,L-BFGS-B,60,0.004998351999347506,26.253275952538118,0.656331898813453,0.022262316327554175,4096,82,0.02001953125,0.01615827811132198,0.024780246099068624,"[4.986685490242893, 1.274180904490846]","[5.142598974103095, 1.1780972262340996]",CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,36,0.03125,0.16050770981339152,6.230230318298191,38,0.0234375,0.09923906152533751,10.076677314654795,40,0.0078125,0.022262316327554175,44.91895565971701,25,0.28125,True,0.6064517820630853,1.6489357102688444,28,0.1875,True,0.5522476830299226,1.8107817030819788,31,0.1328125,True,0.35120891998944453,2.8473080923743472
n8_d25_s17,8,0.25,17,1,2,True,8,48,L-BFGS-B,60,0.006316746999800671,27.50449219212571,0.6876123048031427,0.03911424517100617,4096,162,0.03955078125,0.03400068683769521,0.04596373669272019,"[1.7490315036767639, 0.7921142306722376]","[1.5754029696819594, 1.1780972538244254]",CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,36,0.03125,0.15040197971281244,6.648848651523514,38,0.0234375,0.11445597894199741,8.736983504433331,40,0.0078125,0.03911424517100617,25.56613314734909,25,0.28125,True,0.6769776647236261,1.477153608026709,28,0.1875,True,0.5943181295917249,1.6826005302698133,31,0.1328125,True,0.42402805118536263,2.3583345422655846
n8_d25_s17,8,0.25,17,1,3,True,7,36,L-BFGS-B,60,0.004526278000412276,26.172581588730914,0.6543145397182728,0.03487437263120243,4096,150,0.03662109375,0.031289416276572425,0.04282112235583926,"[3.4403878422665652, 2.5372231696312806]","[5.27737057585731, 2.748893576836809]",CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,36,0.03125,0.12767853366482082,7.8321701487047175,38,0.0234375,0.09757253389633044,10.248785801365855,40,0.0078125,0.03487437263120243,28.674350950339118,25,0.28125,True,0.5428725949782678,1.8420528301673285,28,0.1875,True,0.47579526515867476,2.1017443283436337,31,0.1328125,True,0.32675297537927916,3.0604158962569445
n8_d25_s17,8,0.25,17,1,4,True,8,39,L-BFGS-B,60,0.005393010000261711,27.410658486645865,0.6852664621661466,0.032410449419015046,4096,155,0.037841796875,0.03241798036019162,0.04413167697972161,"[1.8191744402384888, 1.8451611605434939]","[1.9032419453165452, 1.963495433795017]",CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,36,0.03125,0.11076342116390411,9.028251289929303,38,0.0234375,0.09860549537166363,10.14142260764273,40,0.0078125,0.032410449419015046,30.854246637299177,25,0.28125,True,0.6217399066215414,1.6083896004582972,28,0.1875,True,0.527161373498165,1.8969523380746727,31,0.1328125,True,0.4077575691771361,2.4524376138940163
n8_d25_s17,8,0.25,17,2,0,True,18,155,L-BFGS-B,60,0.03483731899996201,27.424455605169896,0.6856113901292474,0.032825096015072205,4096,117,0.028564453125,0.023888085979904983,0.03412426918299647,"[2.0340925210880787, 0.9752644147487403, 2.3604328926507483, 0.8540803574971549]","[3.544095525476386, 0.8331376277616922, 3.1090297316150903, 1.1892436748991562]",CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,36,0.03125,0.11233553036091991,8.901903046944506,38,0.0234375,0.10017137456233471,9.982891862761845,40,0.0078125,0.032825096015072205,30.464495809573044,25,0.28125,True,0.62050330464348,1.6115949625353982,28,0.1875,True,0.5330570841693925,1.8759716917714286,31,0.1328125,True,0.40848230824745224,2.4480864404884226
n8_d25_s17,8,0.25,17,2,1,True,24,220,L-BFGS-B,60,0.056974234000335855,29.195629459432062,0.7298907364858016,0.0629647025282339,4096,237,0.057861328125,0.05111673049421233,0.06543447364872632,"[1.1738966477262407, 1.5051072175387192, 2.52061518102863, 2.889819420574513]","[1.16272872815505, 6.153993733261588, 0.4247228350128156, 1.8403839500484105]",CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,36,0.03125,0.31115566848600307,3.2138254297783546,38,0.0234375,0.22090647645591419,4.526802545780353,40,0.0078125,0.0629647025282339,15.8819141494648,25,0.28125,True,0.7184240122623264,1.3919356576779598,28,0.1875,True,0.6957937215472809,1.437207564587154,31,0.1328125,True,0.5154343219112631,1.9401113924504223
n8_d25_s17,8,0.25,17,2,2,True,31,260,L-BFGS-B,60,0.08043616200029646,34.01005112335737,0.8502512780839343,0.18209193633564588,4096,761,0.185791015625,0.17417635895507005,0.197994485734031,"[6.103186203556436, 1.8828429862732896, 0.19300374235126497, 2.712042243184191]","[6.037169552686532, 1.9163100705824136, 1.1098112231438806, 2.8850191461159826]",CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,36,0.03125,0.6349438317958891,1.5749424593535746,38,0.0234375,0.514317254052047,1.9443252041838046,40,0.0078125,0.18209193633564588,5.491731375499918,25,0.28125,True,0.8706746009761899,1.1485347096134562,28,0.1875,True,0.8475744355161189,1.1798373784021265,31,0.1328125,True,0.7646259268325026,1.307829050660818
n8_d25_s17,8,0.25,17,2,3,True,14,90,L-BFGS-B,60,0.018933266999738407,28.55170019976203,0.7137925049940508,0.056527067621379976,4096,227,0.055419921875,0.04882057743485012,0.06285238929308543,"[1.6153069363688772, 2.8779421394647238, 1.3556986845230754, 2.0320574747466043]","[2.223422299640436, 3.404135918091135, 1.1240405669264217, 1.9145928933386267]",CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,36,0.03125,0.2990249428622358,3.344202628811174,38,0.0234375,0.22633492867112248,4.418231007786946,40,0.0078125,0.056527067621379976,17.69063993727802,25,0.28125,True,0.6620749047300849,1.5104031173144685,28,0.1875,True,0.6188857531316163,1.6158071096965994,31,0.1328125,True,0.5113479185998602,1.955615665236568
n8_d25_s17,8,0.25,17,2,4,True,13,85,L-BFGS-B,60,0.018591799999740033,29.2317623474284,0.73079405868571,0.03883098032528147,4096,175,0.042724609375,0.036947808831559584,0.04935832333835985,"[3.7020015298283155, 1.148887066137631, 0.03932730296611384, 1.7384399593217341]","[3.6714003659964782, 1.0524691288591574, 0.3038815807451328, 1.9223849068518568]",CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,36,0.03125,0.18677722546730433,5.353971810524896,38,0.0234375,0.13736317231345946,7.279971648572763,40,0.0078125,0.03883098032528147,25.75263337734833,25,0.28125,True,0.7537794405576423,1.3266480169055883,28,0.1875,True,0.704171808446874,1.420107973657177,31,0.1328125,True,0.5440022593828505,1.8382276594484392
