p,instances,paired_starts_per_instance,objective_eval_budget,median_expectation_p_target,median_threshold_p_target,median_delta_p_target,bootstrap_ci_lo,bootstrap_ci_hi,p_raw,p_holm,improved_instance_fraction,median_delta_approx_ratio,evidence_label
1,18,5,128,0.06827604633342299,0.0873664665382563,0.01592300329958983,0.005196221857456481,0.03682102250212367,0.00193023681640625,0.0038604736328125,0.9444444444444444,-0.001181091870699924,instance-clustered paired objective-training sensitivity under equal 128-evaluation cap
2,18,5,128,0.11868336803897767,0.1618330436650397,0.01728898781311739,0.008177203872635212,0.06315861154241269,0.00067138671875,0.00201416015625,0.8333333333333334,-0.004465084804763209,instance-clustered paired objective-training sensitivity under equal 128-evaluation cap
3,18,5,128,0.10072630714499692,0.1868102832757339,0.01741182483566192,0.0018139879392033154,0.04415125199799803,0.03849029541015625,0.03849029541015625,0.7222222222222222,-0.013983252814155744,instance-clustered paired objective-training sensitivity under equal 128-evaluation cap
