p,instances,optimizer_runs,instance_median_approx_ratio,instance_q1_approx_ratio,instance_q3_approx_ratio,instance_median_p_opt,instance_q1_p_opt,instance_q3_p_opt
1,18,90,0.6733171051022586,0.6147576457172943,0.6950733583399804,0.0032655367339692286,0.0005559730823644191,0.012917622213580924
2,18,90,0.689377433030123,0.6366255732859601,0.7293633598880341,0.004066942363049277,0.0010748644306949346,0.02595485983145568
3,18,90,0.7157508034931195,0.6754569544228415,0.740266299232134,0.007366560537488566,0.0014347841354512944,0.025706756386432463
