instance_id,n,density_target,seed,target_ratio,threshold,marked_count,rho_tau,eps_model,oracle_cost_norm,diffusion_cost_norm,prep_cost_norm,k_star_resource_eff,p_target_eff,expected_repetitions,score,normalized_cost,normalized_resource_per_target_hit,depth_model,eta_res
n8_d25_s17,8,0.25,17,0.9,36,8,0.03125,0.0,1.0,1.0,1.0,3,0.8969365358352662,1.114906083147518,0.12813379083360946,7.0,7.804342582032626,120.0,0.2438857056885196
n8_d25_s17,8,0.25,17,0.9,36,8,0.03125,0.0,2.0,1.0,1.0,3,0.8969365358352662,1.114906083147518,0.08969365358352663,10.0,11.149060831475179,120.0,0.3484081509835994
n8_d25_s17,8,0.25,17,0.9,36,8,0.03125,0.0,4.0,1.0,1.0,3,0.8969365358352662,1.114906083147518,0.05605853348970414,16.0,17.838497330360287,120.0,0.5574530415737591
n8_d25_s17,8,0.25,17,0.9,36,8,0.03125,0.0,8.0,1.0,1.0,3,0.8969365358352662,1.114906083147518,0.032033447708402364,28.0,31.217370328130503,120.0,0.9755428227540784
n8_d25_s17,8,0.25,17,0.9,36,8,0.03125,0.0005,1.0,1.0,1.0,3,0.8447030183255713,1.183848025051774,0.12067185976079589,7.0,8.286936175362419,120.0,0.2551112427836894
n8_d25_s17,8,0.25,17,0.9,36,8,0.03125,0.0005,2.0,1.0,1.0,3,0.8447030183255713,1.183848025051774,0.08447030183255713,10.0,11.83848025051774,120.0,0.3644446325481277
n8_d25_s17,8,0.25,17,0.9,36,8,0.03125,0.0005,4.0,1.0,1.0,3,0.8447030183255713,1.183848025051774,0.052793938645348204,16.0,18.941568400828384,120.0,0.5831114120770042
n8_d25_s17,8,0.25,17,0.9,36,8,0.03125,0.0005,8.0,1.0,1.0,0,0.030784748112595715,32.483618067703,0.030784748112595715,1.0,32.483618067703,30.0,1.0
n8_d25_s17,8,0.25,17,0.9,36,8,0.03125,0.001,1.0,1.0,1.0,3,0.7955113440705887,1.2570530985555202,0.11364447772436981,7.0,8.799371689888641,120.0,0.2668534673276757
n8_d25_s17,8,0.25,17,0.9,36,8,0.03125,0.001,2.0,1.0,1.0,3,0.7955113440705887,1.2570530985555202,0.07955113440705887,10.0,12.570530985555202,120.0,0.3812192390395367
n8_d25_s17,8,0.25,17,0.9,36,8,0.03125,0.001,4.0,1.0,1.0,2,0.5505746484390368,1.8162841366473241,0.05005224076718517,11.0,19.979125503120567,90.0,0.6058954096471391
n8_d25_s17,8,0.25,17,0.9,36,8,0.03125,0.001,8.0,1.0,1.0,0,0.030326422923390887,32.974545086512535,0.030326422923390887,1.0,32.974545086512535,30.0,1.0
n8_d25_s17,8,0.25,17,0.9,36,8,0.03125,0.002,1.0,1.0,1.0,3,0.7055552686965395,1.4173234108894475,0.10079360981379136,7.0,9.921263876226133,120.0,0.2919842014675113
n8_d25_s17,8,0.25,17,0.9,36,8,0.03125,0.002,2.0,1.0,1.0,2,0.5031873410281786,1.9873313942212225,0.07188390586116837,7.0,13.911319759548558,90.0,0.4094121114028935
n8_d25_s17,8,0.25,17,0.9,36,8,0.03125,0.002,4.0,1.0,1.0,2,0.5031873410281786,1.9873313942212225,0.04574430372983442,11.0,21.860645336433446,90.0,0.6433618893474041
n8_d25_s17,8,0.25,17,0.9,36,8,0.03125,0.002,8.0,1.0,1.0,0,0.02943014167450778,33.9787694894515,0.02943014167450778,1.0,33.9787694894515,30.0,1.0
n8_d25_s17,8,0.25,17,0.95,38,6,0.0234375,0.0,1.0,1.0,1.0,3,0.774417118715064,1.2912937689952282,0.11063101695929486,7.0,9.039056382966596,120.0,0.21185288397577956
n8_d25_s17,8,0.25,17,0.95,38,6,0.0234375,0.0,2.0,1.0,1.0,3,0.774417118715064,1.2912937689952282,0.0774417118715064,10.0,12.912937689952281,120.0,0.30264697710825655
n8_d25_s17,8,0.25,17,0.95,38,6,0.0234375,0.0,4.0,1.0,1.0,3,0.774417118715064,1.2912937689952282,0.0484010699196915,16.0,20.66070030392365,120.0,0.48423516337321054
n8_d25_s17,8,0.25,17,0.95,38,6,0.0234375,0.0,8.0,1.0,1.0,3,0.774417118715064,1.2912937689952282,0.027657754239823716,28.0,36.15622553186638,120.0,0.8474115359031182
n8_d25_s17,8,0.25,17,0.95,38,6,0.0234375,0.0005,1.0,1.0,1.0,3,0.72931857660635,1.3711429162454343,0.10418836808662144,7.0,9.59800041371804,120.0,0.2216040188406744
n8_d25_s17,8,0.25,17,0.95,38,6,0.0234375,0.0005,2.0,1.0,1.0,3,0.72931857660635,1.3711429162454343,0.07293185766063501,10.0,13.711429162454344,120.0,0.31657716977239203
n8_d25_s17,8,0.25,17,0.95,38,6,0.0234375,0.0005,4.0,1.0,1.0,3,0.72931857660635,1.3711429162454343,0.045582411037896876,16.0,21.93828665992695,120.0,0.5065234716358272
n8_d25_s17,8,0.25,17,0.95,38,6,0.0234375,0.0005,8.0,1.0,1.0,3,0.72931857660635,1.3711429162454343,0.02604709202165536,28.0,38.39200165487216,120.0,0.8864160753626976
n8_d25_s17,8,0.25,17,0.95,38,6,0.0234375,0.001,1.0,1.0,1.0,3,0.6868463691320074,1.4559296590061854,0.09812090987600106,7.0,10.191507613043298,120.0,0.23180397757508167
