instance_id,n,target_ratio,threshold,marked_count,rho_tau,eps_model,oracle_cost_norm,k_star,p_target_eff,normalized_cost,normalized_resource_per_target_hit,eta_res
n8_d25_s17,8,0.9,36,8,0.03125,0.0,0.5,3,0.8969365358352662,5.5,6.131983457311349,0.1916244830409797
n8_d25_s17,8,0.9,36,8,0.03125,0.0,0.620928906036742,3,0.8969365358352662,5.862786718110226,6.536456576217564,0.20426426800679892
n8_d25_s17,8,0.9,36,8,0.03125,0.0,0.7711054127039704,3,0.8969365358352662,6.313316238111911,7.038754678704973,0.21996108370953046
n8_d25_s17,8,0.9,36,8,0.03125,0.0,0.9576032806985736,3,0.8969365358352662,6.87280984209572,7.662537501268651,0.2394542969146454
n8_d25_s17,8,0.9,36,8,0.03125,0.0,1.189207115002721,3,0.8969365358352662,7.567621345008162,8.437187072506601,0.26366209601583135
n8_d25_s17,8,0.9,36,8,0.03125,0.0,1.4768261459394993,3,0.8969365358352662,8.430478437818499,9.399191694167827,0.29372474044274466
n8_d25_s17,8,0.9,36,8,0.03125,0.0,1.8340080864093424,3,0.8969365358352662,9.502024259228028,10.593864648828616,0.3310582702758943
n8_d25_s17,8,0.9,36,8,0.03125,0.0,2.2775772695133836,3,0.8969365358352662,10.832731808540151,12.077478590447027,0.3774212059514697
n8_d25_s17,8,0.9,36,8,0.03125,0.0,2.8284271247461903,3,0.8969365358352662,12.485281374238571,13.919916153946986,0.4349973798108434
n8_d25_s17,8,0.9,36,8,0.03125,0.0,3.5125043207466,3,0.8969365358352662,14.537512962239798,16.207961635437044,0.5064988011074077
n8_d25_s17,8,0.9,36,8,0.03125,0.0,4.362030930661032,3,0.8969365358352662,17.086092791983095,19.049388791004912,0.5952933997189036
n8_d25_s17,8,0.9,36,8,0.03125,0.0,5.41702218774757,3,0.8969365358352662,20.25106656324271,22.578037301584594,0.7055636656745187
