instance_id,p,runs,converged,approx_ratio_median,approx_ratio_q1,approx_ratio_q3,p_opt_exact_median,p_opt_exact_q1,p_opt_exact_q3
n10_d25_s17,1,5,5,0.5810265775264749,0.5119530740699519,0.5967308840336267,0.006768022626411834,0.004793340192952393,0.01835430268809491
n10_d25_s17,2,5,5,0.5882200965839964,0.5,0.6755898709992615,0.007161486476586435,0.00390625,0.016064494843010434
n10_d25_s17,3,5,5,0.638053016625527,0.5,0.6655340347728534,0.004407787201637633,0.00390625,0.017107362894861405
n10_d25_s42,1,5,5,0.55,0.55,0.6251170044511705,0.0078125,0.0078125,0.017446672617633583
n10_d25_s42,2,5,5,0.7480719253331815,0.5810153519731983,0.7515312686282798,0.040825400253007085,0.009008369907955092,0.04421595476282921
n10_d25_s42,3,5,5,0.55,0.55,0.7570842985315273,0.0078125,0.0078125,0.04832410663091992
n10_d50_s17,1,5,5,0.6848773178782155,0.658686493764027,0.6848773178782281,0.004601772582403385,0.004601770838138352,0.008446457250908267
n10_d50_s17,2,5,5,0.6960566649727209,0.6357142857142857,0.75610658004876,0.00390625,0.00390625,0.01375543684701773
n10_d50_s17,3,5,5,0.6943644267568607,0.6895375212815971,0.7876666751012288,0.00930087426241586,0.00919587292187838,0.02353604227493356
n10_d50_s42,1,5,5,0.5906697911549932,0.5815217391304348,0.6176451574184878,0.0017498096804159807,0.0017498090519802733,0.001953125
n10_d50_s42,2,5,5,0.5815217391304348,0.5815217391304348,0.6195816141161737,0.001953125,0.0015421322500478063,0.001953125
n10_d50_s42,3,5,5,0.613817668903718,0.5815217391304348,0.6269527884331029,0.0019531249999999774,0.0009746885999496568,0.001953125
n10_d75_s17,1,5,5,0.715962229725699,0.7043478260869566,0.7281029242980211,0.004212653745716914,0.00390625,0.004364294435791302
n10_d75_s17,2,5,5,0.7269009005570457,0.7174292789114858,0.7838836975223787,0.00369616953184667,0.0021565556143145746,0.003906250000000085
n10_d75_s17,3,5,5,0.7232037268071118,0.7043478260869576,0.730364091144999,0.003906250000000007,0.003906250000000002,0.005464796073688916
n10_d75_s42,1,5,5,0.6905866310288183,0.6878421110585035,0.6929477083185192,0.0019531249999999844,0.0009828325758483422,0.0026248222492043353
n10_d75_s42,2,5,5,0.6928039515727112,0.6791044776119403,0.6989564521993565,0.001953125,0.0009831809269649926,0.001953125
n10_d75_s42,3,5,5,0.7063287816153374,0.7053470565332925,0.740134459779703,0.002673148464122416,0.0012849529536843437,0.004462130428886365
n12_d25_s17,1,5,5,0.5692339185396744,0.5370370370370371,0.6009507041853607,0.0009765625,0.0009765624999999989,0.0014086540777404522
n12_d25_s17,2,5,5,0.6212969624810665,0.603404131590954,0.6493608712983141,0.0024885335143212477,0.0009765625,0.002761321228169352
n12_d25_s17,3,5,5,0.6646431136920389,0.6473219000158896,0.7341604826476884,0.0295881219658288,0.02224433262382607,0.03173844018400366
n12_d25_s42,1,5,5,0.5241935483870968,0.5241935483870968,0.5498394204270265,0.00048828125,0.00048828125,0.00048828125
n12_d25_s42,2,5,5,0.5944892779835955,0.5241935483870968,0.6721626264843489,0.0005100052329174378,0.00048828125,0.0007909528206059896
n12_d25_s42,3,5,5,0.5241935483870968,0.5241935483870968,0.6210224656201765,0.00048828125,0.00048828125,0.0012550940235821065
n12_d50_s17,1,5,5,0.7199052410794691,0.6954926138253267,0.7199052410794701,0.000259915055287305,0.0002599149770838491,0.000259915084633052
n12_d50_s17,2,5,5,0.696750501012611,0.6839822841343696,0.8304355679542298,0.0010228961171351695,0.0006644965382698001,0.007637461877949562
n12_d50_s17,3,5,5,0.7223972365866255,0.6872279446939549,0.7497703214095035,0.0004969176878547534,0.00033269851709937344,0.0017312668490844312
n12_d50_s42,1,5,5,0.6332969467386925,0.6271011396173246,0.6343434330620433,0.0005359595529449092,0.00048828125,0.0006710216514824873
n12_d50_s42,2,5,5,0.6397339983291292,0.63471797290506,0.6478252365187979,0.000987855109865233,0.00048828125,0.0011718210429410786
n12_d50_s42,3,5,5,0.6372716957961932,0.6283459216446022,0.6536066497678061,0.0008068406432507294,0.00048828125,0.0010729534109192795
n12_d75_s17,1,5,5,0.7500716702058334,0.7371930839617111,0.7500716702058788,0.0012571703340475658,0.00048828125,0.0012571712688726005
n12_d75_s17,2,5,4,0.7416158536599045,0.7405937524110768,0.7460157389782718,0.00011986847867368333,8.217101614351099e-05,0.0001557262402539003
n12_d75_s17,3,5,5,0.7504693317146465,0.7460461690623901,0.7513743724009561,0.0010124566990787896,0.0007404723539635344,0.0018434010141645041
n12_d75_s42,1,5,5,0.7114285714285717,0.7114285714285714,0.7154693934611891,0.0004882812499999435,0.00025718320772408,0.00048828124999999957
n12_d75_s42,2,5,5,0.7180226776837462,0.7154399934158064,0.7186098803793867,0.0004028028170393898,0.00029584564388634673,0.00048828125
n12_d75_s42,3,5,5,0.7224994751443867,0.7208620284040561,0.7253211471227297,0.00037107564787004,0.0002835740638598821,0.0005361377274880935
n8_d25_s17,1,5,5,0.5,0.5,0.5,0.0078125,0.0078125,0.0078125
